"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\login\widget_top_welcome.dart", "Dart", 21, 0, 2, 23
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\payment_method_picker\barrel_payment_method_picker.dart", "Dart", 1, 0, 1, 2
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\payment_method_picker\sc_payment_method_picker.dart", "Dart", 104, 0, 8, 112
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\barrel_register.dart", "Dart", 1, 0, 1, 2
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\bloc.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_bloc.dart", "Dart", 56, 0, 14, 70
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_event.dart", "Dart", 37, 0, 16, 53
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\bloc\register_state.dart", "Dart", 81, 0, 11, 92
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\register\sc_register.dart", "Dart", 150, 0, 19, 169
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\barrel_show_info.dart", "Dart", 6, 0, 1, 7
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\sc_show_info.dart", "Dart", 69, 0, 5, 74
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_offers.dart", "Dart", 107, 0, 6, 113
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_casts.dart", "Dart", 91, 0, 8, 99
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_desc.dart", "Dart", 114, 0, 7, 121
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_review.dart", "Dart", 63, 0, 2, 65
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\show_info\widget_show_trailer.dart", "Dart", 39, 0, 2, 41
"c:\Projects\Flutter Projects\findseat\lib\presentation\screen\splash\sc_splash.dart", "Dart", 33, 1, 7, 41
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\COLOR_CONST.dart", "Dart", 44, 0, 4, 48
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\FONT_CONST.dart", "Dart", 83, 4, 23, 110
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\UI_CONST.dart", "Dart", 2, 0, 2, 4
"c:\Projects\Flutter Projects\findseat\lib\utils\my_const\my_const.dart", "Dart", 3, 0, 1, 4
"c:\Projects\Flutter Projects\findseat\lib\utils\validators.dart", "Dart", 14, 0, 3, 17
"Total", "-", 4632, 13, 602, 5247
